tx_id,blockID,addr_in,amount,addr_out
134927,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.982,1K7m6AET2RZ1nqYhbTPDhkMgkzKKHk88Dx
134928,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.7626,17AW6Phqurv86UxYHQ4W1VkJSz4zJSXSCv
134929,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.7077,1C27A9TmLg2HRHM4ZAQwi59ouXY4QaJ18J
134930,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.6204,1Ms6rNwZPa5qv3hTcB8HAkcCAbbLYtwccn
134931,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.5679,1Jn67ECnHXVRiWemL2TWmeF3DxVwMHw1mc
134932,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.4253,17PD9rEMQo7AZkF8sjmEksmpfC27Kx8pMN
134933,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.3774,121zvNcVrz2x4nqubdhHp58SVSW8JUz9x5
134934,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.3467,1G8SZmvdMN7D44h7k7aCEeZPsBmUq47LaC
134935,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.3319,18amLtCqvZ5thVRB6pLuTCx3Fmvck8kSKY
134936,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.2734,1FvMEiq99zuTY2p2LaWtGSNz8vpUJwULfS
134937,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.2592,1MV7mQ7DUNewBfZQyG4q7akBdcBrpwdJeW
134938,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.2451,1Q7MAWFubTmiBMQmXChjqsfYfsjnc7Te2U
134939,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.2125,1EZqVm65VQbj43kh9Vz1PZUvyTqBZ2jGUD
134940,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.1968,14rWhXdqoS2BKGNbb9UW8tjeFAP1jpzDgn
134941,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.1916,1PsDq5AN2uuKWokRjqvAL73JsQxrQEdcnc
134942,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.1898,16QLHchhJty3hTatKrxVEe2E5HABNjWrb8
134943,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.1725,1MCEkzL3PsUkZc559qpecXJexMinGbySqx
134944,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.1617,1P9UTssG8i2MsrcVvqtziuHn8kNSUcBhN4
134945,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.1081,1FiDCGxMbE34VSEbq4UJHggA4YfnmXhV7Y
134946,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.1009,12FVMPrSzW2gSD4dcDGUq137WShbkjmGVq
134947,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.1006,1KrakenLFEFg33A4f6xpwgv3UUoxrLPuGn
134948,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.0906,114VTJFXEYiv8z2vspHSGKuGHzZxXpqbeV
134949,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.0748,1HZrzvxguWLvhj5iTMFUawiw4KEDy8ZGaM
134950,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.0702,1GKk1PdgwN7M5cAGtn9Eht5NCGyQC7gm4c
134951,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.0569,13jwt5RpkiqT6oydKjAP5PNd5Q3FHByMdo
134952,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.0458,19Xd2PjUdU3tbLSsr3zFNrT1Kcvtwf2iGa
134953,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.0284,1CBcM2yf9e76yt28RGQ5VMkCoeX4QYFi1p
134954,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.0272,1WNfbu4KxWAmjW4q9rBKLcxG1NEsgd3UF
134955,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,0.0231,12Pvxz3wiGFyombsxUp4QK3R3X7vH7Skxg
134956,182126,181em4pzup56gxUZwWkeF2LJQXSxunnfTx,0.7128,1AQwmzVGDKAppRF4M3mZFuXxkZxSMCmRJf
134957,182126,181em4pzup56gxUZwWkeF2LJQXSxunnfTx,5.4156,1Sb9oSA4bkm7GxPWzubRKtqc4pFa1pf3D
